ID,Tựa đề,Link truyện,Phương thức dịch,Thể loại,Manga,Anime,CD,Ngôn ngữ gốc,Link ảnh,Tác giả,Họa sĩ,Kiểu trình bày,Tình trạng,Số like,Số từ,Số lượt đánh giá,Số lượt xem,Số lượt bình luận,Fname,ID người dịch,Người dịch,Link người dịch,ID nhóm dịch,Nhóm dịch,Link nhóm dịch,ID người tham gia,Người tham gia,Link người tham gia,Số tập,Số chương,Ngày bắt đầu,Tháng bắt đầu,Năm bắt đầu,Ngày cập nhật cuối,Tháng cập nhật cuối,Năm cập nhật cuối
1,Seirei Tsukai no Blade Dance,https://ln.hako.vn/truyen/1-seirei-tsukai-no-blade-dance,Truyện dịch,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi', 'Harem', 'School Life', 'Super Power', '']",Yes,Yes,Yes,japanese,https://i.docln.net/lightnovel/covers/s1-c4dd8ff5-552d-46ec-9945-529f9aa2d1b2-m.jpg,Shimizu Yuu,"Sakura Hanpen, Nimura Yuuji, Shimesada Kohada",light novel,Đã hoàn thành,2944.0,1071757,345.0,1695086,2256,NOT FOUND,39,medassin,https://ln.hako.vn/thanh-vien/39,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,21,272,11,11,2016,20,7,2020
10,Utsuro no Hako to Zero no Maria,https://ln.hako.vn/truyen/10-utsuro-no-hako-to-zero-no-maria,Truyện dịch,"['Drama', 'Mystery', 'Romance']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-hGKnPrypenQ/WO2vaWFMeCI/AAAAAAAAJxw/9NXW2PRideY/w215/series_10.jpg,Mikage Eiji,Tetsuo (415),light novel,Tạm ngưng,889.0,333710,97.0,176429,60,Hakomari,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,8,Solarius,https://ln.hako.vn/nhom-dich/8-solarius,NOT FOUND,NOT FOUND,NOT FOUND,6,25,11,11,2016,11,11,2016
100,Accel World,https://ln.hako.vn/truyen/100-accel-world,Truyện dịch,"['Action', 'Harem', 'School Life', 'Science Fiction', 'Romance']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/--os7wMK9P4s/WO2voFt9vWI/AAAAAAAAJ3Y/KWLps1EnLsA/w215/series_100.jpg,Reki Kawahara,HIMA,light novel,Tạm ngưng,119.0,90591,6.0,59880,5,NOT FOUND,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,2,14,11,11,2016,11,11,2016
101,Psycho Love Comedy,https://ln.hako.vn/truyen/101-psycho-love-comedy,Truyện dịch,"['Comedy', 'Harem', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-U-8GY0KgPl8/WO2voco_moI/AAAAAAAAJ3c/nXe2N_R0oi8/w215/series_101.jpg,Mizuki Mizushiro,Namanie,light novel,Đang tiến hành,237.0,47955,10.0,36570,5,Psycome,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,1,6,11,11,2016,14,11,2016
102,A Simple Survey,https://ln.hako.vn/truyen/102-a-simple-survey,Truyện dịch,"['Horror', 'Mystery', 'Supernatural', 'Fantasy', 'Science Fiction', 'Suspense']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-51uQTKpqfuM/WO2voaewtBI/AAAAAAAAJ3g/e_cgICaHg2E/w215/series_102.jpg,Kamachi Kazuma,Haimura Kiyotaka,light novel,Đã hoàn thành,85.0,82382,7.0,71762,15,NOT FOUND,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,1,34,11,11,2016,11,11,2016
103,Clockwork Planet,https://ln.hako.vn/truyen/103-clockwork-planet,Truyện dịch,"['Drama', 'Fantasy', 'Science Fiction', 'Romance']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-Qk43JAE0jc4/WO2vok5IpZI/AAAAAAAAJ3k/8VMRjGjzYpQ/w215/series_103.jpg,Tsubaki Himana,Shino,light novel,Đang tiến hành,167.0,40130,10.0,36306,4,クロックワーク・プラネット,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,2,5,11,11,2016,1,6,2017
104,All you need is kill,https://ln.hako.vn/truyen/104-all-you-need-is-kill,Truyện dịch,"['Science Fiction', 'Action', 'Mecha', 'Mystery', 'Tragedy', 'Romance', 'Psychological', '']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-ozcZ84PVYDc/WO2voloYBAI/AAAAAAAAJ3o/sEHkYDWXlPo/w215/series_104.jpg,Hiroshi Sakurazaka,"Takeshi Obata, Yoshitoshi ABe",light novel,Đã hoàn thành,103.0,75053,17.0,42706,17,Chỉ việc giết là được,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,1,5,11,11,2016,11,11,2016
108,Yahari Ore no Seishun Love Come wa Machigatteiru,https://ln.hako.vn/truyen/108-yahari-ore-no-seishun-love-come-wa-machigatteiru,Truyện dịch,"['Comedy', 'Drama', 'School Life', 'Slice of Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-A0dOLNHLzh0/WO2vpMSXOCI/AAAAAAAAJ34/wd8BcI9CSQk/w215/series_108.jpg,Wataru Watari,Ponkan⑧,light novel,Đang tiến hành,540.0,348338,0,267496,43,OreGairu,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,14,41,11,11,2016,27,11,2016
11,Fate/Zero,https://ln.hako.vn/truyen/11-fatezero,Truyện dịch,"['Action', 'Fantasy', 'Supernatural', 'Drama']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-_XopZx9lUR4/WO2vafVT-KI/AAAAAAAAJx0/Q517v3HEEkE/w215/series_11.jpg,Gen Urobuchi,Takeuchi Takashi,light novel,Đã hoàn thành,190.0,366178,16.0,111831,22,NOT FOUND,2,Hako-chan,https://ln.hako.vn/thanh-vien/2,9,Vnsharing,https://ln.hako.vn/nhom-dich/9-vnsharing,NOT FOUND,NOT FOUND,NOT FOUND,5,27,11,11,2016,22,8,2017
110,Chuunibyou Demo Koi ga Shitai!,https://ln.hako.vn/truyen/110-chuunibyou-demo-koi-ga-shitai,Truyện dịch,"['Comedy', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-S2uybvDGrVY/WO2vpSWFz1I/AAAAAAAAJ4A/pU-XYCWz5Tk/w215/series_110.jpg,Torako,Nozomi Ousaka,light novel,Đang tiến hành,270.0,208476,22.0,89210,24,Cuồng dâm sinh hoang tưởng vẫn muốn hưởng tình yêu,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,3855,Zennomi,https://ln.hako.vn/thanh-vien/3855,3,36,11,11,2016,26,12,2018
